"tract","Name","Household_Income_at_Age_35_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall","Fraction_Married_at_Age_35_rP_gP_pall","Spouse's_Income_at_Age_35_rP_gP_pall","Employment_Rate_at_Age_35_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_at_Age_35_rP_gP_pall","Hourly_Wage_$/hour_at_Age_35_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
6037123602,"Van Nuys, Los Angeles, CA",40935,0.0137,,31837,0.362,35225,0.7368,,,,,0.2182,,0.2876,,0.7814,0.2049,41377,33541,,,,,861
6037123700,"North Hollywood, Los Angeles, CA",44937,0.0051,,30722,0.4585,39851,0.7078,,,,,0.2442,,0.2432,,0.8178,0.2571,46677,32383,,,,,1044
6037123800,"North Hollywood, Los Angeles, CA",44918,0.0064,,30744,0.406,42350,0.7093,,,,,0.2719,,0.2591,,0.791,0.2401,41955,30037,,,,,1265
6037123901,"North Hollywood, Los Angeles, CA",37303,0.0041,,27149,0.3718,37198,0.692,,,,,0.1393,,0.1675,,0.7901,0.2739,39680,28920,,,,,1069
6037123902,"North Hollywood, Los Angeles, CA",43393,0.0055,,32044,0.4227,35498,0.7584,,,,,0.2057,,0.2752,,0.7802,0.2506,42362,30437,,,,,609
6037124000,"Valley Village, Los Angeles, CA",59445,0.0052,,39455,0.4917,52557,0.7736,,,,,0.4077,,0.4082,,0.6937,0.1471,56467,39572,,,,,901
6037124102,"North Hollywood, Los Angeles, CA",33573,0.0077,,25101,0.3012,41298,0.7054,,,,,0.1256,,0.1615,,0.8236,0.253,34647,26201,,,,,1136
6037124103,"North Hollywood, Los Angeles, CA",32789,0.0054,,25540,0.2931,31344,0.7029,,,,,0.0915,,0.1928,,0.8553,0.3228,35486,28020,,,,,655
6037124104,"North Hollywood, Los Angeles, CA",30101,0.0125,,22990,0.2474,35553,0.6827,,,,,0.0766,,0.1009,,0.7927,0.3416,30035,24515,,,,,787
6037124105,"North Hollywood, Los Angeles, CA",31482,0.0136,,23824,0.3134,35151,0.673,,,,,0.1169,,0.1555,,0.8196,0.2299,33962,27051,,,,,858
6037124201,"North Hollywood, Los Angeles, CA",40495,0.0103,,29830,0.376,38533,0.772,,,,,0.1693,,0.2071,,0.7971,0.2646,40434,30724,,,,,1015
6037124203,"North Hollywood, Los Angeles, CA",33150,0.0344,,25958,0.3147,37317,0.7419,,,,,0.0893,,0.166,,0.8378,0.2962,33018,25961,,,,,990
6037124204,"North Hollywood, Los Angeles, CA",32633,0.0122,,25992,0.325,34504,0.6989,,,,,0.0778,,0.1251,,0.8605,0.2434,33282,26501,,,,,1107
6037124300,"North Hollywood, Los Angeles, CA",35333,0.0117,,25948,0.3527,38482,0.7129,,,,,0.1153,,0.1692,,0.8177,0.2475,35621,27646,,,,,1350
